a,b,c,d,e,f,g,h
72,7,0.111,0.667,29.919,162.000,100.000,0.618
73,7,0.111,0.667,29.920,162.000,100.000,0.618
74,7,0.111,0.667,29.921,162.000,100.000,0.618
75,7,0.111,0.667,29.922,162.000,100.000,0.618
76,7,0.111,0.667,29.922,162.000,100.000,0.618
77,7,0.111,0.667,29.923,162.000,100.000,0.618
78,7,0.111,0.667,29.924,162.000,100.000,0.618
79,7,0.111,0.667,29.924,162.000,100.000,0.618
80,7,0.111,0.667,29.925,162.000,100.000,0.618
81,7,0.111,0.667,29.926,162.000,100.000,0.618
82,7,0.111,0.667,29.926,162.000,100.000,0.618
83,7,0.111,0.667,29.927,162.000,100.000,0.618
84,7,0.111,0.667,29.928,162.000,100.000,0.618
85,7,0.111,0.667,30.118,162.000,100.000,0.618
86,7,0.111,0.667,30.119,162.000,100.000,0.618
87,7,0.111,0.667,30.119,162.000,100.000,0.618
88,7,0.111,0.667,30.120,162.000,100.000,0.618
89,7,0.111,0.667,30.121,162.000,100.000,0.618
90,7,0.111,0.667,30.122,162.000,100.000,0.618
91,7,0.111,0.667,30.122,162.000,100.000,0.618
92,7,0.111,0.667,30.123,162.000,100.000,0.618
93,7,0.111,0.667,30.124,162.000,100.000,0.618
94,7,0.111,0.667,30.124,162.000,100.000,0.618
95,7,0.111,0.667,30.125,162.000,100.000,0.618
96,7,0.111,0.667,30.126,162.000,100.000,0.618
97,7,0.111,0.667,30.127,162.000,100.000,0.618
98,7,0.111,0.667,30.127,162.000,100.000,0.618
99,7,0.111,0.667,30.128,162.000,100.000,0.618
100,7,0.111,0.667,30.129,162.000,100.000,0.618
1,3,0.114,0.667,2.141,162.000,100.000,0.618
2,3,0.114,0.667,5.687,162.000,100.000,0.618
3,3,0.114,0.667,6.985,162.000,100.000,0.618
4,3,0.114,0.667,10.869,162.000,100.000,0.618
5,3,0.113,0.667,10.872,162.000,100.000,0.618
6,3,0.113,0.667,10.875,162.000,100.000,0.618
7,3,0.113,0.667,10.878,162.000,100.000,0.618
8,3,0.113,0.667,10.881,162.000,100.000,0.618
9,3,0.113,0.667,10.884,162.000,100.000,0.618
10,3,0.112,0.667,10.887,162.000,100.000,0.618
11,3,0.112,0.667,10.889,162.000,100.000,0.618
12,3,0.112,0.667,10.892,162.000,100.000,0.618
13,3,0.112,0.667,15.546,162.000,100.000,0.618
14,3,0.112,0.667,15.549,162.000,100.000,0.618
15,3,0.112,0.667,15.552,162.000,100.000,0.618
16,3,0.112,0.667,15.554,162.000,100.000,0.618
17,3,0.112,0.667,15.557,162.000,100.000,0.618
18,3,0.112,0.667,17.229,162.000,100.000,0.618
19,3,0.112,0.667,17.232,162.000,100.000,0.618
20,3,0.112,0.667,17.235,162.000,100.000,0.618
21,3,0.112,0.667,17.238,162.000,100.000,0.618
22,3,0.111,0.667,17.241,162.000,100.000,0.618
23,3,0.111,0.667,22.168,162.000,100.000,0.618
24,3,0.111,0.667,22.858,162.000,100.000,0.618
25,3,0.111,0.667,22.860,162.000,100.000,0.618
26,3,0.111,0.667,22.861,162.000,100.000,0.618
27,3,0.111,0.667,22.862,162.000,100.000,0.618
28,3,0.111,0.667,22.863,162.000,100.000,0.618
29,3,0.111,0.667,23.450,162.000,100.000,0.618
30,3,0.111,0.667,23.451,162.000,100.000,0.618
31,3,0.111,0.667,23.452,162.000,100.000,0.618
32,3,0.111,0.667,23.453,162.000,100.000,0.618
33,3,0.111,0.667,23.454,162.000,100.000,0.618
34,3,0.111,0.667,23.455,162.000,100.000,0.618
35,3,0.111,0.667,23.456,162.000,100.000,0.618
36,3,0.111,0.667,23.457,162.000,100.000,0.618
37,3,0.111,0.667,23.458,162.000,100.000,0.618
38,3,0.111,0.667,23.459,162.000,100.000,0.618
39,3,0.111,0.667,24.647,162.000,100.000,0.618
40,3,0.111,0.667,24.648,162.000,100.000,0.618
41,3,0.111,0.667,24.649,162.000,100.000,0.618
42,3,0.111,0.667,24.650,162.000,100.000,0.618
43,3,0.111,0.667,24.651,162.000,100.000,0.618
44,3,0.111,0.667,27.465,162.000,100.000,0.618
45,3,0.111,0.667,27.466,162.000,100.000,0.618
46,3,0.111,0.667,31.216,162.000,100.000,0.618
47,3,0.111,0.667,31.217,162.000,100.000,0.618
